,Age,Sex,Pclass,Fare,SibSp,Parch,Embarked,Survived
0,22.0,0,3,7.25,1,0,0,0
1,38.0,1,1,71.2833,1,0,1,1
2,26.0,1,3,7.925,0,0,0,1
3,35.0,1,1,53.1,1,0,0,1
4,35.0,0,3,8.05,0,0,0,0
5,24.0,0,3,8.4583,0,0,2,0
6,54.0,0,1,51.8625,0,0,0,0
7,2.0,0,3,21.075,3,1,0,0
8,27.0,1,3,11.1333,0,2,0,1
9,14.0,1,2,30.0708,1,0,1,1
10,4.0,1,3,16.7,1,1,0,1
11,58.0,1,1,26.55,0,0,0,1
12,20.0,0,3,8.05,0,0,0,0
13,39.0,0,3,31.275,1,5,0,0
14,14.0,1,3,7.8542,0,0,0,0
15,55.0,1,2,16.0,0,0,0,1
16,2.0,0,3,29.125,4,1,2,0
17,30.0,0,2,13.0,0,0,0,1
18,31.0,1,3,18.0,1,0,0,0
19,24.0,1,3,7.225,0,0,1,1
20,35.0,0,2,26.0,0,0,0,0
21,34.0,0,2,13.0,0,0,0,1
22,15.0,1,3,8.0292,0,0,2,1
23,28.0,0,1,35.5,0,0,0,1
24,8.0,1,3,21.075,3,1,0,0
25,38.0,1,3,31.3875,1,5,0,1
26,24.0,0,3,7.225,0,0,1,0
27,19.0,0,1,263.0,3,2,0,0
28,24.0,1,3,7.8792,0,0,2,1
29,24.0,0,3,7.8958,0,0,0,0
30,40.0,0,1,27.7208,0,0,1,0
31,38.0,1,1,146.5208,1,0,1,1
32,24.0,1,3,7.75,0,0,2,1
33,66.0,0,2,10.5,0,0,0,0
34,28.0,0,1,82.1708,1,0,1,0
35,42.0,0,1,52.0,1,0,0,0
36,24.0,0,3,7.2292,0,0,1,1
37,21.0,0,3,8.05,0,0,0,0
38,18.0,1,3,18.0,2,0,0,0
39,14.0,1,3,11.2417,1,0,1,1
40,40.0,1,3,9.475,1,0,0,0
41,27.0,1,2,21.0,1,0,0,0
42,24.0,0,3,7.8958,0,0,1,0
43,3.0,1,2,41.5792,1,2,1,1
44,19.0,1,3,7.8792,0,0,2,1
45,24.0,0,3,8.05,0,0,0,0
46,24.0,0,3,15.5,1,0,2,0
47,24.0,1,3,7.75,0,0,2,1
48,24.0,0,3,21.6792,2,0,1,0
49,18.0,1,3,17.8,1,0,0,0
50,7.0,0,3,39.6875,4,1,0,0
51,21.0,0,3,7.8,0,0,0,0
52,49.0,1,1,76.7292,1,0,1,1
53,29.0,1,2,26.0,1,0,0,1
54,65.0,0,1,61.9792,0,1,1,0
55,38.0,0,1,35.5,0,0,0,1
56,21.0,1,2,10.5,0,0,0,1
57,28.5,0,3,7.2292,0,0,1,0
58,5.0,1,2,27.75,1,2,0,1
59,11.0,0,3,46.9,5,2,0,0
60,22.0,0,3,7.2292,0,0,1,0
61,38.0,1,1,80.0,0,0,0,1
62,45.0,0,1,83.475,1,0,0,0
63,4.0,0,3,27.9,3,2,0,0
64,38.0,0,1,27.7208,0,0,1,0
65,24.0,0,3,15.2458,1,1,1,1
66,29.0,1,2,10.5,0,0,0,1
67,19.0,0,3,8.1583,0,0,0,0
68,17.0,1,3,7.925,4,2,0,1
69,26.0,0,3,8.6625,2,0,0,0
70,32.0,0,2,10.5,0,0,0,0
71,16.0,1,3,46.9,5,2,0,0
72,21.0,0,2,73.5,0,0,0,0
73,26.0,0,3,14.4542,1,0,1,0
74,32.0,0,3,56.4958,0,0,0,1
75,25.0,0,3,7.65,0,0,0,0
76,24.0,0,3,7.8958,0,0,0,0
77,24.0,0,3,8.05,0,0,0,0
78,0.83,0,2,29.0,0,2,0,1
79,30.0,1,3,12.475,0,0,0,1
80,22.0,0,3,9.0,0,0,0,0
81,29.0,0,3,9.5,0,0,0,1
82,24.0,1,3,7.7875,0,0,2,1
83,28.0,0,1,47.1,0,0,0,0
84,17.0,1,2,10.5,0,0,0,1
85,33.0,1,3,15.85,3,0,0,1
86,16.0,0,3,34.375,1,3,0,0
87,24.0,0,3,8.05,0,0,0,0
88,23.0,1,1,263.0,3,2,0,1
89,24.0,0,3,8.05,0,0,0,0
90,29.0,0,3,8.05,0,0,0,0
91,20.0,0,3,7.8542,0,0,0,0
92,46.0,0,1,61.175,1,0,0,0
93,26.0,0,3,20.575,1,2,0,0
94,59.0,0,3,7.25,0,0,0,0
95,24.0,0,3,8.05,0,0,0,0
96,71.0,0,1,34.6542,0,0,1,0
97,23.0,0,1,63.3583,0,1,1,1
98,34.0,1,2,23.0,0,1,0,1
99,34.0,0,2,26.0,1,0,0,0
100,28.0,1,3,7.8958,0,0,0,0
101,24.0,0,3,7.8958,0,0,0,0
102,21.0,0,1,77.2875,0,1,0,0
103,33.0,0,3,8.6542,0,0,0,0
104,37.0,0,3,7.925,2,0,0,0
105,28.0,0,3,7.8958,0,0,0,0
106,21.0,1,3,7.65,0,0,0,1
107,24.0,0,3,7.775,0,0,0,1
108,38.0,0,3,7.8958,0,0,0,0
109,24.0,1,3,24.15,1,0,2,1
110,47.0,0,1,52.0,0,0,0,0
111,14.5,1,3,14.4542,1,0,1,0
112,22.0,0,3,8.05,0,0,0,0
113,20.0,1,3,9.825,1,0,0,0
